cluster_id,x,y,z
1,21.5709,9.1262,-0.921543
1,22.921,12.0763,-0.83233
1,22.905,11.5763,-0.863815
1,22.8865,11.3775,-0.875279
1,21.2775,8.66527,-0.928277
1,21.4869,8.92333,-0.927682
1,22.9081,11.9703,-0.838373
1,22.9268,11.7834,-0.851957
1,21.1451,8.12423,-0.950221
1,23.1548,9.65088,-0.155135
1,21.2391,8.56581,-0.931397
1,23.1393,10.9318,-0.0574419
1,21.421,8.97511,-0.920054
1,20.7118,8.50986,-0.898224
1,20.9782,8.13815,-0.938008
1,21.0806,8.02128,-0.951623
1,20.3763,8.12699,-0.897309
1,20.3585,8.04442,-0.90084
1,20.3768,7.97308,-0.906185
1,22.734,5.63123,-0.397876
1,22.6848,5.14342,-0.42234
1,22.9543,11.3173,-0.0194767
