x,y,z
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
-10.4609,-18.5532,8
-12.1206,-3.47246,7
10.5647,-17.5996,9
10.7994,-17.5505,8
12.0441,-18.4706,10
-11.6968,-12.4755,8
-12.0945,-5.52561,7
-11.7859,-12.3711,28
-11.8793,-8.37099,8
-11.6775,-12.4937,17
12.0911,-1.38861,5
12.078,-1.05118,7
-6.80032,-18.4312,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.83155,-18.4047,10
-6.67558,-18.429,7
